,id,latitude,longitude,elevation,station_name
74,KHGX,29.47,95.07,5.0,HOUSTON/GALVESTON/Dickinson
75,KHKI,21.88,159.55,55.0,HONOLULU/Kauai
76,KHKM,20.12,155.77,1162.0,HONOLULU/Kohala
77,KHMO,21.12,157.17,415.0,HONOLULU/Molokai
78,KHNX,36.3,119.62,74.0,SAN_JOAQUIN_VALLEY/Hanford
79,KHPX,36.73,87.28,176.0,PADUCAH/US_Hwy_41_N
80,KHTX,34.92,86.08,536.0,BIRMINGHAM/Northeastern_AL
81,KHWA,19.08,155.57,421.0,HONOLULU/Hawaii
82,KICT,37.65,97.43,407.0,WICHITA/Wichita
83,KICX,37.58,112.85,3231.0,SALT_LAKE_CITY/Cedar_City
84,KILN,39.42,83.82,322.0,CINCINNATI/Wilmington
85,KILX,40.15,89.33,177.0,CENTRAL_ILLINOIS/Lincoln
86,KIND,39.7,86.27,241.0,INDIANAPOLIS/Indianapolis
87,KINX,36.17,95.55,204.0,TULSA/Inola
88,KIWA,33.28,111.67,412.0,PHOENIX/Mesa
89,KIWX,41.35,85.7,293.0,NORTHERN_INDIANA/North_Webst
90,KJAN,32.32,90.07,91.0,JACKSON/Jackson
91,KJAX,30.48,81.7,10.0,JACKSONVILLE/Jacksonville
92,KJGX,32.67,83.35,159.0,ATLANTA/State_Hwy_96
93,KJKL,37.58,83.3,416.0,JACKSON/Noctor
94,KJUA,18.1,66.07,852.0,SAN_JUAN/Cayey
95,KLBB,33.65,101.8,993.0,LUBBOCK/Lubbock
96,KLCH,30.12,93.2,4.0,LAKE_CHARLES/Lake_Charles
97,KLIX,30.33,89.82,7.0,NEW_ORLEANS/BATON_ROUGE/Slid
98,KLNX,41.95,100.57,905.0,NORTH_PLATTE/Thedford
99,KLOT,41.6,88.08,202.0,CHICAGO/Romeoville
100,KLRX,40.73,116.8,2056.0,ELKO/Lander_County
101,KLSX,38.68,90.67,185.0,ST._LOUIS/St_Charles
102,KLTX,33.98,78.42,20.0,WILMINGTON/Shallotte
103,KLVX,37.97,85.93,219.0,LOUISVILLE/Fort_Knox
104,KLWX,38.97,77.47,83.0,BALTIMORE/WASH/Sterling
105,KLZK,34.83,92.25,173.0,LITTLE_ROCK/N_Little_Rock
106,KMAF,31.93,102.18,874.0,MIDLAND/ODESSA/Midland
107,KMAX,42.07,122.72,2290.0,MEDFORD/Jackson_County
108,KMBX,48.38,100.85,455.0,BISMARCK/McHenry_County
109,KMHX,34.77,76.87,9.0,MOREHEAD_CITY/Newport
110,KMKX,42.97,88.55,292.0,MILWAUKEE/Dousman
111,KMLB,28.1,80.65,11.0,MELBOURNE/Melbourne
112,KMOB,30.67,88.23,63.0,MOBILE/Mobile
113,KMPX,44.83,93.55,288.0,MINNEAPOLIS/Chanhassen
114,KMQT,46.52,87.53,430.0,MARQUETTE/Marquette
115,KMRX,36.17,83.4,408.0,KNOXVILLE/TRI-CITIES/Morrist
116,KMSX,47.03,113.98,2394.0,MISSOULA/Missoula_County
117,KMTX,41.25,112.43,1969.0,SALT_LAKE_CITY/Elder_County
118,KMUX,37.15,121.88,1057.0,SAN_FRANCISCO_BAY_AREA/Santa
119,KMVX,47.52,97.32,301.0,EASTERN_NORTH_DAKOTA/Mayvill
120,KMXX,32.53,85.78,122.0,BIRMINGHAM/Maxwell_AFB
121,KNKX,32.92,117.03,291.0,SAN_DIEGO/San_Diego
122,KNQA,35.33,89.87,86.0,MEMPHIS/Millington
123,KOAX,41.32,96.37,350.0,OMAHA/Valley
124,KOHX,36.23,86.55,176.0,NASHVILLE/Old_Hickory
125,KOKX,40.85,72.85,26.0,NEW_YORK_CITY/Upton
126,KOTX,47.67,117.62,727.0,SPOKANE/Spokane
127,KPAH,37.07,88.77,119.0,PADUCAH/Paducah
128,KPBZ,40.52,80.22,361.0,PITTSBURGH/Coraopolis
129,KPDT,45.68,118.85,462.0,PENDLETON/Pendleton
130,KPOE,31.15,92.97,124.0,LAKE_CHARLES/Fort_Polk
131,KPUX,38.45,104.17,1600.0,PUEBLO/Pueblo_County
132,KRAX,35.65,78.48,106.0,RALEIGH/DURHAM/Clayton
133,KRGX,39.75,119.45,2530.0,RENO/Washoe_County
134,KRIW,43.05,108.47,1697.0,RIVERTON/Riverton
135,KRLX,38.3,81.72,329.0,CHARLESTON/Ruthdale
136,KRTX,45.7,122.95,479.0,PORTLAND/Scappoose
137,KSFX,43.1,112.68,1364.0,POCATELLO/IDAHO_FALLS/Spring
138,KSGF,37.23,93.4,390.0,SPRINGFIELD/Springfield
139,KSHV,32.45,93.83,83.0,SHREVEPORT/Shreveport
140,KSJT,31.37,100.48,576.0,SAN_ANGELO/San_Angelo
141,KSOX,33.82,117.63,923.0,SAN_DIEGO/Orange_County
142,KSRX,35.28,94.35,195.0,TULSA/Western_Arkansas
143,KTBW,27.7,82.4,12.0,TAMPA_BAY_AREA/Ruskin
144,KTFX,47.45,111.38,1132.0,GREAT_FALLS/Great_Falls
145,KTLH,30.38,84.32,19.0,TALLAHASSEE/Tallahassee
146,KTLX,35.32,97.27,370.0,OKLAHOMA_CITY/Norman
147,KTWX,38.98,96.22,417.0,TOPEKA/Alma
148,KTYX,43.76,75.76,562.0,MONTAGUE/Fort_Drum
149,KUDX,44.12,102.82,919.0,RAPID_CITY/New_Underwood
150,KUEX,40.32,98.43,602.0,HASTINGS/Webster_County
151,KVAX,30.88,83.0,54.0,TALLAHASSEE/State_Rd_129
152,KVBX,34.83,120.38,373.0,LOS_ANGELES/Orcutt_Oil_Field
153,KVNX,36.73,98.12,369.0,OKLAHOMA_CITY/Kegelman_Aux_F
154,KVTX,34.4,119.17,831.0,LOS_ANGELES/Ventura_County
155,KVWX,38.27,87.72,190.0,EVANSVILLE/Owensville
156,KYUX,32.48,114.65,53.0,PHOENIX/Yuma
157,NOP3,35.32,97.27,370.0,OKLAHOMA_CITY/Norman
158,TJUA,18.12,66.08,931.0,San_Juan/Puerta_Rico
